Altium Designer Pick and Place Locations
C:\Zolotarev_Aleksandr\Desktop\npcprom\DI\DI\Project Outputs for DI\Pick Place for ≈– ‘.758725.093ƒ11_ÃŒ— .txt

========================================================================================================================
File Design Information:

Date:       20.09.20
Time:       11:47
Revision:   3010f6eac535ec3fecae375260726ed3035bf835
Variant:    No variations
Units used: mm

Designator  Comment                              Layer       Footprint                          Center-X(mm) Center-Y(mm) Rotation Description                                                      
DD2         1G00                                 TopLayer    sot-23-5                           120.9875     173.5950     90       2NAND                                                            
DD1         1G00                                 TopLayer    sot-23-5                           117.7875     173.5450     90       2NAND                                                            
DA15        PS2801C-1                            TopLayer    SSOP-4N                            134.8250     175.2000     180      ""                                                               
DA14        AM1D-2403SH30Z                       TopLayer    AM1D-2405                          125.9800     180.9750     270      "AM1D-2403SH30Z 21.6-26.4V 3.3V 200mA 3000V 54Ï¿ 6Ï¿ 220ÏÍF 77%" 
DA13        AM1D-2403SH30Z                       TopLayer    AM1D-2405                          125.9800     187.0750     270      "AM1D-2403SH30Z 21.6-26.4V 3.3V 200mA 3000V 54Ï¿ 6Ï¿ 220ÏÍF 77%" 
DA12        PS2801C-1                            TopLayer    SSOP-4N                            78.3003      150.2495     180      ""                                                               
DA11        PS2801C-1                            TopLayer    SSOP-4N                            78.3253      157.6494     180      ""                                                               
DA10        PS2801C-1                            TopLayer    SSOP-4N                            136.1995     131.8754     360      ""                                                               
DA9         PS2801C-1                            TopLayer    SSOP-4N                            136.1750     135.3750     360      ""                                                               
DA8         MOCD217M                             TopLayer    SO-8_optocup                       76.9993      165.1991     360      "dual optopair"                                                  
DA7         MOCD217M                             TopLayer    SO-8_optocup                       76.9743      171.1291     360      "dual optopair"                                                  
DA6         MOCD217M                             TopLayer    SO-8_optocup                       76.9739      179.9741     360      "dual optopair"                                                  
DA5         MOCD217M                             TopLayer    SO-8_optocup                       76.9489      185.9041     360      "dual optopair"                                                  
DA4         MOCD217M                             TopLayer    SO-8_optocup                       77.2740      123.3488     360      "dual optopair"                                                  
DA3         MOCD217M                             TopLayer    SO-8_optocup                       77.2490      129.2787     360      "dual optopair"                                                  
DA2         MOCD217M                             TopLayer    SO-8_optocup                       77.2990      138.0987     360      "dual optopair"                                                  
DA1         MOCD217M                             TopLayer    SO-8_optocup                       77.2740      144.0288     360      "dual optopair"                                                  
D2          ADM2682E_RS485_422_Isol              TopLayer    SOIC_16IC_                         135.6741     149.4240     360      ""                                                               
D1          ADM2682E_RS485_422_Isol              TopLayer    SOIC_16IC_                         135.5994     165.8495     360      ""                                                               
C99         0.1u                                 TopLayer    cap_0402                           129.4250     175.4250     180      ""                                                               
C98         0.1u                                 TopLayer    0603_cap                           141.6000     175.4000     270      ""                                                               
C97         "Capacitor ceramic"                  TopLayer    C0603                              109.8750     182.4250     270      ""                                                               
C96         0.1u                                 TopLayer    cap_0402                           115.5750     183.0250     90       ""                                                               
C95         "Capacitor electrolytic"             TopLayer    rad_cap_10ı12                      59.4000      112.4000     270      ""                                                               
C94         "Capacitor electrolytic"             TopLayer    rad_cap_10ı12                      69.9750      112.3750     270      ""                                                               
C93         "Capacitor ceramic"                  TopLayer    C0603                              109.8250     188.7000     270      ""                                                               
C92         0.1u                                 TopLayer    cap_0402                           115.5750     189.5250     90       ""                                                               
C91         "Capacitor ceramic"                  TopLayer    C0603                              143.2500     193.6750     360      ""                                                               
C90         "Capacitor ceramic"                  TopLayer    C1206_                             139.8750     195.3500     90       ""                                                               
C89         "Capacitor ceramic"                  TopLayer    C0603                              146.6750     193.4250     90       ""                                                               
C88         "Capacitor ceramic"                  TopLayer    C1206_                             145.5250     180.9500     90       ""                                                               
C87         "Capacitor ceramic"                  TopLayer    C1206_                             148.0250     180.9500     90       ""                                                               
C86         0.01u                                TopLayer    cap_0402                           72.4503      150.1997     180      ""                                                               
C85         0.01u                                TopLayer    cap_0402                           71.2503      156.0995     180      ""                                                               
C84         0.1u                                 TopLayer    cap_0402                           110.9000     162.0500     180      ""                                                               
C83         0.1u                                 TopLayer    cap_0402                           92.9750      173.7750     270      ""                                                               
C82         0.1u                                 TopLayer    cap_0402                           105.1250     158.1250     180      ""                                                               
C81         10p                                  TopLayer    cap_0402                           107.1250     151.8250     270      ""                                                               
C80         10p                                  TopLayer    cap_0402                           102.1000     151.1250     270      ""                                                               
C79         10p                                  TopLayer    cap_0402                           99.5750      158.1500     180      ""                                                               
C78         10p                                  TopLayer    cap_0402                           100.0000     151.5750     180      ""                                                               
C77         0.1u                                 TopLayer    cap_0402                           99.5750      159.0250     180      ""                                                               
C76         47u                                  TopLayer    1206-cap                           96.1250      159.0000     180      ""                                                               
C75         0.1u                                 TopLayer    cap_0402                           99.5750      159.9000     180      ""                                                               
C74         0.1u                                 TopLayer    cap_0402                           110.0750     167.7500     270      ""                                                               
C73         0.1u                                 TopLayer    cap_0402                           100.9250     171.0250     360      ""                                                               
C72         0.1u                                 TopLayer    cap_0402                           110.8000     130.3500     90       ""                                                               
C71         0.1u                                 TopLayer    cap_0402                           93.4750      143.7500     270      ""                                                               
C70         0.1u                                 TopLayer    cap_0402                           105.8000     128.1500     180      ""                                                               
C69         10p                                  TopLayer    cap_0402                           107.5250     121.1250     270      ""                                                               
C68         10p                                  TopLayer    cap_0402                           102.4500     120.2250     270      ""                                                               
C67         10p                                  TopLayer    cap_0402                           99.2000      126.2000     180      ""                                                               
C66         10p                                  TopLayer    cap_0402                           99.2000      120.3500     180      ""                                                               
C65         0.1u                                 TopLayer    cap_0402                           99.2250      127.1250     180      ""                                                               
C64         47u                                  TopLayer    1206-cap                           95.7250      127.5000     180      ""                                                               
C63         0.1u                                 TopLayer    cap_0402                           111.2500     137.9000     270      ""                                                               
C62         0.1u                                 TopLayer    cap_0402                           101.3250     141.6750     360      ""                                                               
C61         0.1u                                 TopLayer    cap_0402                           99.2250      128.0250     180      ""                                                               
C60         0.1u                                 TopLayer    cap_0402                           91.1004      180.2253     270      ""                                                               
C59         0.1u                                 TopLayer    cap_0402                           98.1000      180.1497     270      ""                                                               
C58         0.1u                                 TopLayer    cap_0402                           81.8743      169.2991     90       ""                                                               
C57         0.1u                                 TopLayer    cap_0402                           81.9996      163.3241     90       ""                                                               
C56         0.1u                                 TopLayer    0603_cap                           72.8492      163.8991     90       ""                                                               
C55         0.1u                                 TopLayer    0603_cap                           72.8492      166.5492     90       ""                                                               
C54         0.1u                                 TopLayer    cap_0402                           81.8743      171.8541     90       ""                                                               
C53         0.1u                                 TopLayer    0603_cap                           72.8492      169.8041     90       ""                                                               
C52         0.1u                                 TopLayer    cap_0402                           81.9743      165.9041     90       ""                                                               
C51         0.1u                                 TopLayer    0603_cap                           72.8242      172.4491     90       ""                                                               
C50         0.1u                                 TopLayer    cap_0402                           81.8490      184.0741     90       ""                                                               
C49         0.1u                                 TopLayer    cap_0402                           81.9743      178.0991     90       ""                                                               
C48         0.1u                                 TopLayer    0603_cap                           72.8239      178.6741     90       ""                                                               
C47         0.1u                                 TopLayer    0603_cap                           72.8239      181.3241     90       ""                                                               
C46         0.1u                                 TopLayer    cap_0402                           81.8490      186.6291     90       ""                                                               
C45         0.1u                                 TopLayer    0603_cap                           72.8239      184.5791     90       ""                                                               
C44         0.1u                                 TopLayer    cap_0402                           81.9490      180.6791     90       ""                                                               
C43         0.1u                                 TopLayer    0603_cap                           72.7989      187.2241     90       ""                                                               
C42         0.1u                                 TopLayer    cap_0402                           82.1490      127.4487     90       ""                                                               
C41         0.1u                                 TopLayer    cap_0402                           82.2743      121.4737     90       ""                                                               
C40         0.1u                                 TopLayer    0603_cap                           73.1239      122.0488     90       ""                                                               
C39         0.1u                                 TopLayer    0603_cap                           73.1239      124.6987     90       ""                                                               
C38         0.1u                                 TopLayer    cap_0402                           82.1490      130.0038     90       ""                                                               
C37         0.1u                                 TopLayer    0603_cap                           73.1239      127.9537     90       ""                                                               
C36         0.1u                                 TopLayer    cap_0402                           82.2490      124.0538     90       ""                                                               
C35         0.1u                                 TopLayer    0603_cap                           73.0989      130.5988     90       ""                                                               
C34         0.1u                                 TopLayer    cap_0402                           82.1740      142.1987     90       ""                                                               
C33         0.1u                                 TopLayer    cap_0402                           82.2993      136.2238     90       ""                                                               
C32         0.1u                                 TopLayer    0603_cap                           73.1489      136.7987     90       ""                                                               
C31         0.1u                                 TopLayer    0603_cap                           73.1489      139.4488     90       ""                                                               
C30         0.1u                                 TopLayer    cap_0402                           82.1740      144.7537     90       ""                                                               
C29         0.1u                                 TopLayer    0603_cap                           73.1489      142.7038     90       ""                                                               
C28         0.1u                                 TopLayer    cap_0402                           82.2740      138.8037     90       ""                                                               
C27         0.1u                                 TopLayer    0603_cap                           73.1239      145.3487     90       ""                                                               
C24         0.1u                                 TopLayer    cap_0402                           142.4247     145.5495     90       ""                                                               
C23         0.1u                                 TopLayer    cap_0402                           128.9747     145.5745     90       ""                                                               
C17         0.01u                                TopLayer    cap_0402                           142.3497     153.2495     270      ""                                                               
C16         0.1u                                 TopLayer    cap_0402                           143.2746     153.2495     90       ""                                                               
C15         0.01u                                TopLayer    cap_0402                           128.9496     153.2245     270      ""                                                               
C14         0.1u                                 TopLayer    cap_0402                           128.0497     153.2245     90       ""                                                               
C11         0.1u                                 TopLayer    cap_0402                           142.3500     161.9750     90       ""                                                               
C10         0.1u                                 TopLayer    cap_0402                           128.9000     162.0000     90       ""                                                               
C4          0.01u                                TopLayer    cap_0402                           142.2750     169.6750     270      ""                                                               
C3          0.1u                                 TopLayer    cap_0402                           143.2000     169.6750     90       ""                                                               
